;Philosophers problem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5 Philosophers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Running by 2s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Using Semaphore;;;;;;;;;;;;;Using Synchronized;;;;;;;;;;;;;Using Lock and Condition;;;;;;;;;;;;;;;;;;;
; Average executions;;;;;;Standard deviation;;;;;;;Average executions;;;;;;Standard deviation;;;;;;;Average executions;;;;;;Standard deviation;;;;;;;;;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Thread;ThreadPool;HaMeR;Coroutines;
;;806;734.4;731.4;1127.8;;;38.7;13.2;10.2;20.4;;;;1182.8;1025.8;1011.4;8497.4;;;20.1;17.7;18.6;3740.3;;;;789.8;672.4;671.6;808;;;24.8;20.8;21.7;23.8;;;Semáforos;0.017063543;0.030693889;0.02328786;0.023083459;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Thread;ThreadPool;HaMeR;Coroutines;
;;265.3;260.8;256.6;389.7;;;11.8;7.8;13.5;9.6;;;;435;355.9;367.8;4690.3;;;16.8;10.9;18.7;1357.5;;;;247.3;243.9;223.5;320.2;;;12.4;14.1;9.8;11.9;;;Semáforos;0.045254075;0.045853659;0.038110052;0.034398977;
;;260.5;262;266;392.3;;;15.3;12.3;8.2;13.8;;;;417.9;363.5;367.5;4419.5;;;9.5;16.3;9;1223.6;;;;246.6;246.1;222.9;317.7;;;10.9;11.6;8.2;8.7;;;Synchronized;0.036266925;0.031930931;0.029786625;;0.279997144
;;269.7;259.8;261.5;395.5;;;7.8;13.2;11.9;13.1;;;;409.7;371.4;358.2;4253.9;;;15.6;9;7.9;1253.8;;;;248.2;241;224.8;322.5;;;9.9;12.9;7;12.7;;;Locks;0.038731688;0.03954918;0.034891676;0.030685921;
;;260.2;252.6;264.3;404;;;8.2;14.2;9.8;14.1;;;;409.2;371.1;370.3;4238;;;11.5;12.5;14.2;1192.6;;;;262.5;243.5;212.3;304.3;;;9.4;9.7;9.4;9.4;;;;;;;;
;;258.1;259;253.4;406.8;;;16.1;12.5;8;15;;;;417.3;362.3;340.2;4198.9;;;10.5;9.7;11;1183.1;;;;252.9;221.5;219;316.7;;;9.1;7.9;10.2;11.1;;;;;;;;
;;258.9;253.5;253.8;392.5;;;13.4;8;8.7;14.6;;;;429.5;362.9;348.5;4077.5;;;16.6;14.9;11.4;1169.8;;;;247.6;229.1;221.4;300.2;;;6.6;7.4;7.8;9.1;;;;;;;;
;;266.2;248.4;258.9;371.9;;;11.6;12.7;13.1;16.1;;;;412.3;353.9;346.6;4204.4;;;16.7;14.9;6.5;1168;;;;249.5;245.1;219.5;305.1;;;9.4;9.7;6.8;13.8;;;;;;;;
;;261;248.3;257.7;369.3;;;9.3;11;9.8;9.8;;;;406.4;370.5;349.3;4119.8;;;14.4;10.5;9.8;1167.9;;;;252.3;244.1;217.5;294.2;;;7.4;8.7;7.3;9.3;;;;;;;;
;;248.8;259.2;233.3;366.8;;;12.5;11.2;11.6;9;;;;412.7;366.2;349;3659.5;;;11.3;5.9;13.4;1041.6;;;;255.5;249.5;216.1;298.5;;;9.9;9.6;7.5;8.3;;;;;;;;
;;267;244.2;245.4;362.5;;;11.8;8.7;5.2;12.6;;;;414.5;367;348.3;3662.6;;;16.5;12.4;9.2;1038;;;;248.8;248.4;211.8;296;;;11.4;8.4;7;9.3;;;;;;;;
